sku,store_view_code,product_badge
fw31418-spc-000334-1400-52,ae-en,Use code: SPECTUS
fw20918-spc-000335-0900-49,ae-en,Use code: SPECTUS
fw21418-spc-000335-1400-49,ae-en,Use code: SPECTUS
fu20718-spc-000344-0700-49,ae-en,Use code: SPECTUS
fu40718-spc-000345-0700-54,ae-en,Use code: SPECTUS
fu50718-spc-000346-0700-50,ae-en,Use code: SPECTUS
fu20718-spc-000347-0700-48,ae-en,Use code: SPECTUS
fu50718-spc-000348-0700-52,ae-en,Use code: SPECTUS
fw30118-spc-000500-0100-53,ae-en,Use code: SPECTUS
fw30418-spc-000500-0400-53,ae-en,Use code: SPECTUS
fw31318-spc-000500-1300-53,ae-en,Use code: SPECTUS
fm50118-spc-000501-0100-56,ae-en,Use code: SPECTUS
fm50218-spc-000501-0200-56,ae-en,Use code: SPECTUS
fm50718-spc-000501-0700-56,ae-en,Use code: SPECTUS
fw30118-spc-000502-0100-54,ae-en,Use code: SPECTUS
fw30918-spc-000502-0900-54,ae-en,Use code: SPECTUS
fw32618-spc-000502-2600-54,ae-en,Use code: SPECTUS
